# APEX, Llano de Chajnantor, alt. 5100m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
            0.500    0.800    1.000    1.500    2.000 
 211.900    0.972    0.961    0.953    0.935    0.916 
 212.000    0.972    0.961    0.953    0.935    0.916 
 212.100    0.972    0.961    0.953    0.935    0.916 
 212.200    0.972    0.961    0.953    0.935    0.916 
 212.300    0.972    0.961    0.953    0.935    0.916 
 212.400    0.972    0.961    0.953    0.935    0.916 
 212.500    0.972    0.961    0.953    0.935    0.916 
 212.600    0.972    0.961    0.953    0.935    0.916 
 212.700    0.972    0.961    0.953    0.935    0.916 
 212.800    0.972    0.961    0.953    0.935    0.916 
 212.900    0.972    0.961    0.953    0.935    0.916 
 213.000    0.972    0.961    0.953    0.935    0.916 
 213.100    0.972    0.961    0.953    0.935    0.916 
 213.200    0.972    0.961    0.953    0.935    0.916 
 213.300    0.972    0.961    0.953    0.935    0.916 
 213.400    0.972    0.961    0.953    0.935    0.916 
 213.500    0.972    0.961    0.953    0.935    0.916 
 213.600    0.972    0.961    0.953    0.935    0.916 
 213.700    0.972    0.961    0.953    0.935    0.916 
 213.800    0.972    0.961    0.953    0.935    0.916 
 213.900    0.972    0.960    0.953    0.935    0.916 
 214.000    0.971    0.960    0.953    0.935    0.916 
 214.100    0.971    0.960    0.953    0.934    0.916 
 214.200    0.971    0.960    0.953    0.934    0.916 
 214.300    0.971    0.960    0.953    0.934    0.916 
 214.400    0.971    0.960    0.952    0.934    0.915 
 214.500    0.970    0.959    0.952    0.933    0.915 
 214.600    0.970    0.959    0.951    0.933    0.914 
 214.700    0.968    0.957    0.950    0.932    0.913 
 214.800    0.965    0.954    0.947    0.929    0.910 
 214.900    0.955    0.944    0.936    0.918    0.900 
 215.000    0.952    0.941    0.934    0.915    0.897 
 215.100    0.965    0.954    0.946    0.928    0.910 
 215.200    0.968    0.957    0.950    0.931    0.913 
 215.300    0.970    0.959    0.951    0.933    0.914 
 215.400    0.970    0.959    0.952    0.933    0.915 
 215.500    0.971    0.960    0.952    0.934    0.915 
 215.600    0.971    0.960    0.953    0.934    0.916 
 215.700    0.971    0.960    0.953    0.934    0.916 
 215.800    0.971    0.960    0.953    0.934    0.916 
 215.900    0.971    0.960    0.953    0.934    0.916 
 216.000    0.971    0.960    0.953    0.934    0.916 
 216.100    0.972    0.961    0.953    0.935    0.916 
 216.200    0.972    0.961    0.953    0.935    0.916 
 216.300    0.972    0.961    0.953    0.935    0.916 
 216.400    0.972    0.961    0.953    0.935    0.916 
 216.500    0.972    0.961    0.953    0.935    0.916 
 216.600    0.972    0.961    0.953    0.935    0.916 
 216.700    0.972    0.961    0.953    0.935    0.916 
 216.800    0.972    0.961    0.953    0.935    0.916 
 216.900    0.972    0.961    0.953    0.935    0.916 
 217.000    0.972    0.961    0.953    0.935    0.916 
 217.100    0.972    0.961    0.953    0.935    0.916 
 217.200    0.972    0.961    0.953    0.935    0.916 
 217.300    0.972    0.961    0.953    0.935    0.916 
 217.400    0.972    0.961    0.953    0.935    0.916 
 217.500    0.972    0.960    0.953    0.935    0.916 
 217.600    0.972    0.961    0.953    0.935    0.916 
 217.700    0.972    0.961    0.953    0.935    0.916 
 217.800    0.972    0.961    0.953    0.935    0.916 
 217.900    0.972    0.961    0.953    0.935    0.916 
 218.000    0.972    0.961    0.953    0.935    0.916 
 218.100    0.971    0.960    0.953    0.934    0.916 
 218.200    0.972    0.960    0.953    0.935    0.916 
 218.300    0.972    0.961    0.953    0.935    0.916 
 218.400    0.972    0.961    0.953    0.935    0.916 
 218.500    0.972    0.961    0.953    0.935    0.916 
 218.600    0.972    0.961    0.953    0.935    0.916 
 218.700    0.972    0.961    0.953    0.935    0.916 
 218.800    0.972    0.961    0.953    0.935    0.916 
 218.900    0.972    0.961    0.953    0.935    0.916 
 219.000    0.972    0.961    0.953    0.935    0.916 
 219.100    0.972    0.961    0.953    0.935    0.916 
 219.200    0.972    0.960    0.953    0.935    0.916 
 219.300    0.971    0.960    0.953    0.934    0.916 
 219.400    0.972    0.960    0.953    0.934    0.916 
 219.500    0.972    0.960    0.953    0.934    0.916 
 219.600    0.972    0.960    0.953    0.934    0.916 
 219.700    0.972    0.960    0.953    0.934    0.916 
 219.800    0.972    0.960    0.953    0.934    0.916 
 219.900    0.971    0.960    0.953    0.934    0.916 
 220.000    0.971    0.960    0.953    0.934    0.916 
 220.100    0.972    0.960    0.953    0.934    0.916 
 220.200    0.972    0.960    0.953    0.934    0.916 
 220.300    0.971    0.960    0.953    0.934    0.916 
 220.400    0.971    0.960    0.953    0.934    0.916 
 220.500    0.971    0.960    0.953    0.934    0.916 
 220.600    0.971    0.960    0.953    0.934    0.916 
 220.700    0.971    0.960    0.953    0.934    0.915 
 220.800    0.971    0.960    0.953    0.934    0.915 
 220.900    0.971    0.960    0.953    0.934    0.915 
 221.000    0.971    0.960    0.953    0.934    0.915 
 221.100    0.971    0.960    0.953    0.934    0.915 
 221.200    0.971    0.960    0.953    0.934    0.915 
 221.300    0.971    0.960    0.953    0.934    0.915 
 221.400    0.971    0.960    0.953    0.934    0.915 
 221.500    0.971    0.960    0.953    0.934    0.915 
 221.600    0.971    0.960    0.953    0.934    0.915 
 221.700    0.971    0.960    0.953    0.934    0.915 
 221.800    0.971    0.960    0.953    0.934    0.915 
 221.900    0.971    0.960    0.953    0.934    0.915 
 222.000    0.971    0.960    0.953    0.934    0.915 
 222.100    0.971    0.960    0.953    0.934    0.915 
 222.200    0.971    0.960    0.953    0.934    0.915 
 222.300    0.971    0.960    0.953    0.934    0.915 
 222.400    0.971    0.960    0.952    0.934    0.915 
 222.500    0.971    0.960    0.952    0.934    0.915 
 222.600    0.971    0.960    0.952    0.934    0.915 
 222.700    0.971    0.960    0.952    0.934    0.915 
 222.800    0.971    0.960    0.952    0.934    0.915 
 222.900    0.971    0.960    0.952    0.934    0.915 
 223.000    0.971    0.960    0.952    0.933    0.915 
 223.100    0.971    0.960    0.952    0.933    0.915 
 223.200    0.971    0.960    0.952    0.933    0.914 
 223.300    0.971    0.960    0.952    0.933    0.914 
 223.400    0.971    0.960    0.952    0.933    0.914 
 223.500    0.971    0.960    0.952    0.933    0.914 
 223.600    0.971    0.960    0.952    0.933    0.914 
 223.700    0.971    0.960    0.952    0.933    0.914 
 223.800    0.971    0.960    0.952    0.933    0.914 
 223.900    0.971    0.959    0.952    0.933    0.914 
 224.000    0.971    0.959    0.952    0.933    0.914 
 224.100    0.971    0.959    0.952    0.933    0.914 
